Time,Type,Entry,Exit,PnL,Result
2022-10-12 16:09:00,BUY,1669.12,1668.2854399999999,-1078.2520531094815,SL
2022-10-12 16:44:00,SELL,1668.19,1672.38,-1067.4695325783866,SL
2022-10-12 16:46:00,SELL,1672.47,1670.79753,2113.589674505206,TP
2022-10-12 16:53:00,SELL,1672.42,1670.7475800000002,2155.86146799531,TP
2022-10-12 17:27:00,SELL,1670.75,1670.0653130916664,306.01868410233357,TSL
2022-10-12 17:33:00,SELL,1669.46,1670.65,-1102.5495355186315,SL
2022-10-12 17:39:00,SELL,1672.1,1670.4279000000001,2183.04808032689,TP
2022-10-12 17:51:00,SELL,1669.95,1670.4484447019577,-266.80079921944525,SL
2022-10-12 17:53:00,SELL,1669.59,1670.81,-1110.6865129745197,SL
2022-10-12 18:05:00,BUY,1670.12,1669.16,-1099.5796478447744,SL
2022-10-12 18:18:00,SELL,1668.82,1670.4,-1088.5838513663268,SL
2022-10-12 21:10:00,SELL,1674.75,1675.5873749999998,-1077.6980128526634,SL
2022-10-12 21:11:00,SELL,1676.29,1677.128145,-1066.9210327241367,SL
2022-10-12 21:12:00,SELL,1677.18,1678.01859,-1056.2518223968955,SL
2022-10-12 21:25:00,SELL,1677.89,1676.2121100000002,2091.378608345853,TP
2022-10-12 21:28:00,BUY,1676.4,1675.5618000000002,-1066.603090256385,SL
2022-10-12 21:39:00,BUY,1675.52,1674.7251800210822,-1001.8142084298539,SL
2022-10-12 22:11:00,SELL,1673.13,1673.2682785538725,-91.5368071821639,SL
2022-10-13 14:39:00,BUY,1676.43,1680.5700000000004,2090.007098395402,TP
2022-10-13 15:15:00,BUY,1680.8,1675.45,-1065.9036201816552,SL
2022-10-13 15:27:00,SELL,1675.69,1673.9900000000002,2110.489167959677,TP
2022-10-13 15:30:00,SELL,1675.21,1664.9119674352237,8334.046580016107,TSL
2022-10-13 15:32:00,BUY,1660.08,1660.1915178747304,18.138311026347733,TSL
2022-10-13 15:52:00,SELL,1665.83,1652.7467909470422,1427.5483550214772,TSL
2022-10-13 16:16:00,SELL,1653.84,1648.0599999999997,2348.2936162401493,TP
2022-10-13 16:17:00,BUY,1647.81,1649.4578099999999,2395.259488564952,TP
2022-10-13 16:19:00,BUY,1649.27,1647.3,-1221.5823391681256,SL
2022-10-13 16:20:00,BUY,1647.28,1647.8563392638944,846.2500697893033,TSL
2022-10-13 16:22:00,SELL,1652.99,1650.3500000000001,2435.6580329486746,TP
2022-10-13 16:30:00,BUY,1648.66,1646.95,-1242.185596803824,SL
2022-10-13 16:49:00,SELL,1647.53,1646.8113552146763,151.8493641807248,TSL
2022-10-13 17:10:00,BUY,1647.41,1647.586763439244,43.61636922766876,TSL
2022-10-13 17:12:00,BUY,1647.63,1649.27763,2463.4367963397394,TP
2022-10-13 17:20:00,BUY,1648.88,1648.0760957844786,-643.3040031060432,SL
2022-10-13 17:23:00,BUY,1648.06,1647.23597,-1249.9197261022068,SL
2022-10-13 18:06:00,SELL,1646.79,1651.34,-1237.4205288411845,SL
2022-10-13 18:07:00,SELL,1652.4,1653.2262,-1225.046323552773,SL
2022-10-13 18:09:00,SELL,1652.96,1653.78648,-1212.7958603172451,SL
2022-10-13 18:10:00,SELL,1654.29,1652.63571,2401.3358034281455,TP
2022-10-13 18:23:00,BUY,1652.64,1658.1936782722796,1600.3495771134908,TSL
2022-10-13 18:40:00,BUY,1657.98,1667.8600000000001,2481.369511038978,TP
2022-10-13 18:41:00,SELL,1668.63,1666.9613700000004,2530.9969012597576,TP
2022-10-13 20:09:00,BUY,1666.84,1666.931569817147,12.66871285729162,TSL
2022-10-13 20:23:00,SELL,1669.82,1670.6549099999997,-1290.9351067710493,SL
2022-10-13 20:27:00,SELL,1670.82,1671.6554099999998,-1278.0257557033387,SL
2022-10-13 21:27:00,BUY,1671.98,1667.24,-1265.2454981463054,SL
2022-10-14 04:45:00,SELL,1665.0,1665.8325,-1252.5930431648424,SL
2022-10-14 04:49:00,SELL,1665.6,1666.184211467749,-869.9104563368925,SL
2022-10-14 05:41:00,BUY,1666.86,1669.0014302046875,451.5220283871406,TSL
2022-10-14 10:39:00,SELL,1667.29,1665.548331449353,760.6003361377286,TSL
2022-10-14 11:21:00,SELL,1665.89,1662.41,2486.9784636301474,TP
2022-10-14 11:34:00,BUY,1661.33,1662.9913299999998,2536.7180329027506,TP
2022-10-14 12:09:00,BUY,1658.26,1658.3041251646966,68.85033891587435,TSL
2022-10-14 12:26:00,BUY,1657.43,1657.62403883105,303.0797262205119,TSL
2022-10-14 12:37:00,SELL,1656.27,1650.83,2594.8909948635333,TP
2022-10-14 12:43:00,BUY,1651.04,1652.6910399999997,2646.788814760804,TP
2022-10-14 12:45:00,SELL,1653.01,1653.836505,-1349.86229552801,SL
2022-10-14 13:04:00,BUY,1653.7,1653.3207241134041,-146.06643133417262,SL
2022-10-14 13:15:00,BUY,1655.37,1652.72,-1334.9030082593881,SL
2022-10-14 13:22:00,SELL,1652.93,1655.98,-1321.5539781767943,SL
2022-10-14 13:28:00,SELL,1656.01,1656.8380049999998,-1308.3384383950263,SL
2022-10-14 13:41:00,SELL,1657.47,1655.8125300000004,2590.510108022152,TP
2022-10-14 14:54:00,BUY,1659.65,1655.93,-1321.1601550912976,SL
2022-10-14 15:21:00,SELL,1655.16,1655.4245329400833,-196.58833883273186,SL
2022-10-14 15:24:00,BUY,1654.83,1653.93,-1305.9826701520574,SL
2022-10-14 15:30:00,SELL,1653.88,1655.83,-1292.9228434505367,SL
2022-10-14 15:31:00,SELL,1655.87,1656.0488109895027,-276.44310828553466,SL
2022-10-14 15:47:00,BUY,1653.69,1657.17,2554.458367866352,TP
2022-10-14 15:50:00,SELL,1656.89,1657.718445,-1302.7737676118395,SL
2022-10-14 15:51:00,SELL,1657.87,1658.698935,-1289.7460299357213,SL
2022-10-14 15:53:00,SELL,1658.32,1659.14916,-1276.848569636364,SL
2022-10-14 15:56:00,BUY,1659.21,1660.1244818014593,244.3928609619915,TSL
2022-10-14 16:00:00,SELL,1662.52,1663.35126,-1266.5240125496202,SL
2022-10-14 16:16:00,SELL,1662.11,1658.2899999999997,2507.717544848248,TP
2022-10-14 16:21:00,BUY,1658.09,1657.260955,-1278.9359478726064,SL
2022-10-14 16:39:00,SELL,1656.87,1655.1539754455105,554.2700600170588,TSL
2022-10-14 16:41:00,BUY,1654.44,1652.37,-1271.6892889940511,SL
2022-10-14 16:42:00,BUY,1652.59,1651.763705,-1258.9723961041107,SL
2022-10-14 16:43:00,BUY,1651.41,1650.584295,-1246.3826721430694,SL
2022-10-14 16:46:00,BUY,1650.74,1649.91463,-1233.9188454216387,SL
2022-10-14 16:50:00,BUY,1650.23,1651.8802299999998,2443.1593139348447,TP
2022-10-14 16:54:00,BUY,1651.21,1649.54,-1246.0112501067708,SL
2022-10-14 17:00:00,BUY,1650.91,1649.53,-1233.551137605703,SL
2022-10-14 17:18:00,BUY,1647.91,1649.1473646814181,585.6934435241508,TSL
2022-10-14 17:19:00,BUY,1647.84,1649.4878399999996,2454.145121329775,TP
2022-10-14 17:31:00,SELL,1650.04,1651.91,-1251.6140118781852,SL
2022-10-14 17:42:00,BUY,1651.9,1648.44,-1239.0978717594035,SL
2022-10-14 17:45:00,BUY,1648.53,1647.705735,-1226.7068930418095,SL
2022-10-14 17:49:00,BUY,1647.45,1646.626275,-1214.4398241113913,SL
2022-10-14 17:51:00,BUY,1646.12,1647.7661199999998,2404.5908517405546,TP
2022-10-14 18:08:00,BUY,1647.97,1649.2638688568961,714.7409281480208,TSL
2022-10-14 18:21:00,SELL,1649.12,1646.8366167350418,1163.8543614909954,TSL
2022-10-14 18:47:00,BUY,1646.04,1646.0018790822664,-40.56871357804862,SL
2022-10-14 19:09:00,BUY,1648.13,1644.26,-1244.7216001482927,SL
2022-10-14 19:19:00,BUY,1642.16,1643.80216,2464.5487682936196,TP
2022-10-14 19:29:00,SELL,1643.72,1644.54186,-1256.919871829746,SL
2022-10-17 11:27:00,BUY,1657.02,1653.98,-1244.3506731114485,SL
2022-10-17 15:20:00,BUY,1657.58,1659.3570806190553,2641.439146044764,TSL
2022-10-17 15:21:00,SELL,1661.05,1662.15,-1258.3215578407817,SL
2022-10-17 15:22:00,SELL,1662.55,1663.381275,-1245.7383422623739,SL
2022-10-17 15:25:00,SELL,1665.66,1663.9943400000004,2466.5619176795003,TP
2022-10-17 15:43:00,SELL,1663.92,1666.11,-1257.9465780165453,SL
2022-10-17 16:00:00,BUY,1666.39,1665.7295307339227,-282.65522426654064,SL
2022-10-17 16:01:00,BUY,1665.66,1667.3256599999997,2485.081119987429,TP
2022-10-17 16:30:00,SELL,1666.69,1665.4827715652557,1006.5992771411643,TSL
2022-10-17 16:59:00,BUY,1667.82,1664.2,-1277.4573639650005,SL
2022-10-17 17:17:00,SELL,1665.0,1662.42,2529.365580650701,TP
2022-10-17 17:22:00,BUY,1662.52,1661.68874,-1289.9764461318573,SL
2022-10-18 12:04:00,SELL,1652.19,1650.786538566943,676.3501395401099,TSL
2022-10-18 12:16:00,SELL,1651.19,1651.6243932966975,-263.0620611106821,SL
2022-10-18 12:21:00,SELL,1653.22,1651.5667800000003,2562.419124909666,TP
2022-10-18 12:32:00,BUY,1651.42,1651.151975723849,-393.55412459115354,SL
2022-10-18 12:55:00,SELL,1651.19,1651.4813789047485,-238.7654428582915,SL
2022-10-18 15:25:00,BUY,1654.48,1656.1344799999997,2601.0211160588706,TP
2022-10-18 15:31:00,SELL,1655.3,1656.47,-1326.520769190024,SL
2022-10-18 16:07:00,BUY,1656.19,1654.47,-1313.2555614981238,SL
2022-10-18 17:00:00,SELL,1654.78,1653.4479104300601,946.382675287352,TSL
2022-10-18 17:23:00,SELL,1653.29,1650.9299999999998,2619.173665272033,TP
2022-10-18 17:41:00,SELL,1650.53,1650.5337201623158,-1.9719496411899813,SL
2022-10-18 18:26:00,BUY,1647.07,1648.71707,2671.5176995846496,TP
2022-10-18 18:47:00,SELL,1648.48,1647.9665592415572,289.07012300526014,TSL
2022-10-19 10:20:00,SELL,1639.96,1639.4800317933991,234.0470213796658,TSL
2022-10-19 10:47:00,SELL,1644.36,1642.4599999999998,2735.4103964640412,TP
2022-10-19 10:50:00,BUY,1643.54,1643.629184543667,39.75007260536772,TSL
2022-10-19 10:52:00,SELL,1645.37,1646.1926849999998,-1395.4568029227146,SL
